timestamp(ms),pid_val,time,err,pwm_period,temp,
"1737669678.997",,,"11.17",,,
"1737669679.026",,,,"10",,
"1737669679.05","1",,,,,
"1737669679.079",,,"11.12",,,
"1737669679.108",,,,"10",,
"1737669679.133","1",,,,,
"1737669679.161",,,"11.17",,,
"1737669679.19",,,,"10",,
"1737669679.214","1",,,,,
"1737669679.239",,,"11.22",,,
"1737669679.272",,,,"10",,
"1737669679.292","1",,,,,
"1737669679.321",,,"11.17",,,
"1737669679.353",,,,"10",,
"1737669679.374","1",,,,,
"1737669679.403",,,"11.17",,,
"1737669679.431",,,,"10",,
"1737669679.456","1",,,,,
"1737669679.484",,,"11.07",,,
"1737669679.513",,,,"10",,
"1737669679.538","1",,,,,
"1737669679.566",,,"11.07",,,
"1737669679.595",,,,"10",,
"1737669679.619","1",,,,,
"1737669679.648",,,"11.07",,,
"1737669679.677",,,,"10",,
"1737669679.701","1",,,,,
"1737669679.726",,,"11.07",,,
"1737669679.759",,,,"10",,
"1737669679.779","1",,,,,
"1737669679.808",,,"11.17",,,
"1737669679.841",,,,"10",,
"1737669679.861","1",,,,,
"1737669679.89",,,"11.12",,,
"1737669679.919",,,,"10",,
"1737669679.943","1",,,,,
"1737669679.972",,,"11.12",,,
"1737669680.001",,,,"10",,
"1737669680.025","1",,,,,
"1737669680.054",,,"10.97",,,
"1737669680.082",,,,"10",,
"1737669680.107","1",,,,,
"1737669680.136",,,"11.07",,,
"1737669680.164",,,,"10",,
"1737669680.185","1",,,,,
"1737669680.213",,,"11.07",,,
"1737669680.247",,,,"10",,
"1737669680.267","1",,,,,
"1737669680.295",,,"11.02",,,
"1737669680.328",,,,"10",,
"1737669680.349","1",,,,,
"1737669680.377",,,"11.12",,,
"1737669680.406",,,,"10",,
"1737669680.43","1",,,,,
"1737669680.459",,,"11.02",,,
"1737669680.488",,,,"10",,
"1737669680.512","1",,,,,
"1737669680.541",,,"11.12",,,
"1737669680.57",,,,"10",,
"1737669680.595","1",,,,,
"1737669680.619",,,"11.12",,,
"1737669680.652",,,,"10",,
"1737669680.672","1",,,,,
"1737669680.701",,,"11.07",,,
"1737669680.734",,,,"10",,
"1737669680.754","1",,,,,
"1737669680.783",,,"11.02",,,
"1737669680.811",,,,"10",,
"1737669680.836","1",,,,,
"1737669680.865",,,"11.02",,,
